Context utterance,Response utterance,Implicature 
Should I pay?,No one steals from my cart!,Yes.
Have you seen this movie before?,I’ve seen that movie a thousand times.,Yes.
Can you lend me hundred dollars?,Is this supposed to be some kind of a joke?,No.
Are you gonna marry Lucy?,Are you out of your gourd?,No.
Will you be sure to tell them about it?,Absolutely. Don't worry about a thing.,Yes.
Have you been there?,It's a mountain. Mountains are safe.Mountains have caves. And water. And sticks.,Yes.
And have you any other truths to tell me?,You already know what they are.,Yes.
Do you think the police did a good job?,I don't know. I think so.,Yes.
Are you married?,I'm divorced.,No.
"Will you have tea, Mister Welles?",Thank you.,Yes.
"You don't smoke, do you?",A little bit.,Yes.
You enjoy it?,Made me sick,No.
Did you finish?,I didn't get anywhere.,No.
Did anyone respond angrily because of the lack of bonuses this year?,"Well, that news went over like a lead balloon.",No.
Do you ever throw anything away?,Someday I'm gonna get married and I'm going to need all this stuff.,No.
You've seen rain before... right?,We don't get out much.,No.
Are you the owner of this place?,The owners are in Australia.,No.
Professor Carlson doesn’t accept late assignments. Were you able to finish the midterm project on time?,"It was close, but I slipped it in right under the wire.",No.
"Do you know him?
",I wish I did.,No.
Did you just say you were looking for Arthur?,That information is on a need to know basis.,No.
Can you open this?,No way.,No.
Is your business profitable?,we’re in the black this year.,Yes.
Could you understand the sketch?,It is as clear as mud.,No.
"It's the world dear, did you expect it to be small?",Smaller...,Yes.
Is your boss giving you extra work?,I have to draw the line somewhere!,Yes.
Is this place hot?,As hot as hell,Yes.
Have you ever been to the Southern Oracle ?,"Well, what do you think? I work scientifically.",Yes.
You've seen it?,it's top secret but he's been telling me about it.,No.
Is it for an artist?,It's for an accountant.,No.
Is your uncle serious?,My uncle is a real card.,No.
My client is taking me to a really fancy restaurant tonight. So I am wearing this new cologne. I got a sample of it from a magazine. Can you smell it?,From across the room. But it is not exactly subtle. Is it?,Yes.
Do you really believe that?,I am going to take him at his word.,Yes.
Is the room warm?,It is as cold as ice.,No.
Is he an experienced salesman?,He's just wet behind the ears.,No.
are you following me?,I'll tell you why.,Yes.
"And very handsome, too, don't you think?",I'll see you around the campus.,No.
Are you trying to make me mad?,"I'm just saying, I'd understand if you were upset. ",No.
Did I scare you?,"I just did a freaky number, not like a fantasy trip, but... So I'm kinda.",No.
Does it mean that I'm crazy?,"Crazy isn't a psychiatric diagnosis, Fred.",No.
Did he commit a crime?,He disobeyed an order.,Yes.
Is he a fast runner?,He runs like the wind!,Yes.
"It's horrible, isn't it?","Oh, we're making great progress!",No.
Is it true you rescued a human from drowing?,"Daddy, I had to-",Yes.
Did you make this box?, With my own two hands.,Yes.
Is it too costly?,You are breaking the bank.,Yes.
Is that a big book?,That book is a real doorstopper.,Yes.
Should I decide now?,Why don’t you go home and sleep on it.,No.
Want a piece of chocolate?,I'm allergic to it.,No.
Does he come to attend the meditation class?,Do pigs fly?,No.
"They are against you?
", They... fear me.,No.
Did he believe you?,"He swallowed it hook, line and sinker.",Yes.
Wanna go to Gray's orchard and pick some peaches?,I'm going home.,No.
"You wanna do this right, don't you?",What are you talking About?,No.
Was it expensive?,It cost a bazillion dollars,Yes.
"Now, not another word or I shall have to summon the policeman. Is that clear?",It did happen! I saw it!,No.
Can we look around in your camper?,I'll give you the royal tour.,Yes.
Is this not the most perfect kingdom of them all?,"Well, technically you're not a king.",No.
You okay?,More or less.,Yes.
Did you buy an expensive car?,Our car cost us an arm and a leg.,Yes.
Can I get there?,It's ten thousand miles away.,No.
Were you hiding from me?,I didn't want to scare you.,Yes.
Was that easy to negotiate?,That is as easy as shooting fish in a barrel.,Yes.
Do you suppose the Ivory Tower is still standing?,"Let's hope so, Atreyu. Let's hope so.",Yes.
Please stay for dinner. Would you like to stay forever?,Dinner would be great.,No.
Did they agree to fund?,I think I've lucked out !,Yes.
Aren't you suppose to be in bed?,We couldn't sleep,Yes.
Don't you do the shopping yourself?,No shopping or laundry or housekeeping. I am a professional nanny.,No.
"Oh hey Dad, can we eat now?",Just wait till we get home.,No.
Can you read these instructions?,It's all Greek to me.,No.
Should I pay any attention to Sam?,He is nutty as a fruitcake.,No.
Is the place clean?,It’s a jungle out there.,No.
Do you think he did the theft?,He is as innocent as a lamb,No.
will you be kind enough to come with me?,As you wish.,Yes.
Was that a short documentary?,That documentary went on forever.,Yes.
Remember when we use to have fun?,before you go boring.,Yes.
Any luck getting me replaced?,Is there anyone in this command that you don't either drink or play softball with?,No.
What is the problem. You don't have your car keys?,No problem. Good thing I have left it with my neighbour.,No.
But aren't you afraid?,"Ma'am, sharks never attack anybody.",No.
"You do like it here, don't you, Coraline?","Uh-huh! Good night, Wybie.",No.
Do I have to attend this interview?,Do you want to be a success in this world?,Yes.
Does she always cry like that?,she's usually very Sweet..,No.
Did you talk to Kathy?,My manager talked me out of it.,No.
Am I writing fast?,You are slower than a snail.,No.
Have you started writing your paper on computer programming languages?,"To be true, I had been putting it off.",No.
So he's okay?,Uh... not exactly.,No.
And you think you can got him to just say it?,I think he wants to say it,Yes.
Do you know where the bus stop is?,Actually I am pretty new to this area.,No.
Can I get the money now ?,"Ahh, maybe next summer.",No.
You dug this up all by yourself?,"You told me to look, so I looked.",Yes.
Is that book about lullabies?,It is about symphonies.,No.
Do you think you got an “A” on the test?,Do chickens have lips?,No.
"You're not gonna tell him, are you?","Oh, please, Sebastian, he would never understand.",No.
Is the Pantheon even a church?,Oldest Catholic church in Rome!,Yes.
"I bet its good to be playing again, huh?",It was like having part of me amputated.,No.
Did he do as you instructed?,"You can lead a horse to water, but you can't make it drink.",No.
Did I make a good bet?,You backed the wrong horse.,No.
"Listen, you got anything to sell?",I can't get it.,No.
Is there anything wrong with her??,"Oh, she's just pretending.",No.
You... live here?,"Long time. Long, long time.",Yes.
This is the research office?,I think so.,Yes.
Are you taking this the road to med school?,I'm going to try.,Yes.
Do they close for the winter?,They're open year round.,No.
Did the negotiation go well?,It was as hard as nails.,No.
Do you want me to take her?,I have to burp her first.,No.
Anything to declare?,Some churros... from my family.,Yes.
"You were going to take those cookies, weren't you?",We were caught in the act.,Yes.
Did you like the show?,I got a bang out of it.,Yes.
Do you thing I should buy an iPhone?,I think you can get more bang for your buck with other brands of smartphones,No.
Do you need a a day off?,I can start immediately. Fill me in on the task.,No.
Are you going to spend your vacation in New York this year?,Actually I have a different destination in mind.,No.
You only have water to serve?,This is not just water .It is imported mineral water.,yes.
Are you with me?,To the death!,Yes.
you think he loves you?,"Oh, I know he does.",Yes.
That's what you're afraid of isn't it? ,You bet I am.,Yes.
You really hearing voices?,Just one.,Yes.
You sure this'll happen?,It's in the cards.,Yes.
" Will he really give us that test?
",Does the sun come up in the east these days?,Yes.
Do you have a sufficient amount of fruit and vegetables for the child?,She only eats milk and cereal.,No.
"I've never seen a human this close before. Oh - he's very handsome, isn't he?","I dunno, he looks kinda hairy and slobbery to me.",No.
Do you want a smartphone?,"If I can't get a smartphone, I will die.",Yes.
Is that what this is about? You think Splinter likes me best?,"You'd love that, wouldn't you?",Yes.
"Oh, so this is the best kind?",It's the cheapest.,No.
I feel horrible. Debbie was furious that I lost her notes. Do you think I should apologize her again?,If I were you I would cool off for some days before I talk to her again.,No. 
Can he walk now?,He is as strong as an ox.,Yes.
"Are you sure it's not TOO SOON, honey?",I just wanted to get back to work.,No.
"You're not getting cold fins now, are you?","Who, me? It's just, it, err . . . it looks - damp in there.",No.
Would you come out with me?,"You didn't think I would say yes to that, did you?",Yes.
are you waiting ?,"I think my tunnels might be faster, mate. And um, and safer. ",Yes.
Is it too obvious?,I think it's just the right amount of obvious?,Yes.
Isn't that why we moved here?,Something like that. But then we had the accident.,Yes.
Are you working hard?,I have been burning the midnight oil.,Yes.
Did you tell her about the dress?,I just bit my tongue.,No.
Would you like to go with us for coffee a little later?,I am off caffine .Medical restriction.,No.
"Oh Mister Jake, will you guide us?",At your service!,Yes.
Is your helper old?,She’s as old as the hills.,Yes. 
aren't you coming?,I'm certainly not going to swim across.,No.
Can you meet with me on Wednesday?,I am quite busy Wednesday.,No.
shall I wear this one?,It is gorgeous.,Yes.
Is it fun to play with Katie?,she's more fun than a barrel of monkeys!,Yes.
You don't want to sing this song?,I'm not into it right now.,No.
" Do you have many relatives?
",Is the sky blue?,Yes.
But you're troubled... aren't you?,That's because you keep reminding me.,Yes.
Should we keep promoting our item?,It sells like hot cakes! ,Yes.
Is it really?,These aren't like any treasures I've seen.,Yes.
